  
       XFOIL         Version 6.99
  
 Calculated polar for: SD8040 (10%)                                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.1027   0.00749   0.00221  -0.0671   0.8514   0.3230
  -1.750   0.1284   0.00709   0.00210  -0.0667   0.8407   0.4216
  -1.500   0.1540   0.00673   0.00200  -0.0661   0.8294   0.5199
  -1.250   0.1794   0.00642   0.00196  -0.0654   0.8164   0.6121
  -1.000   0.2046   0.00619   0.00193  -0.0646   0.8031   0.6906
  -0.750   0.2295   0.00602   0.00192  -0.0636   0.7893   0.7569
  -0.500   0.2542   0.00591   0.00190  -0.0624   0.7746   0.8114
  -0.250   0.2781   0.00584   0.00189  -0.0611   0.7591   0.8596
   0.000   0.3016   0.00581   0.00188  -0.0596   0.7429   0.9037
   0.250   0.3290   0.00582   0.00185  -0.0589   0.7259   0.9425
   0.500   0.3658   0.00587   0.00180  -0.0605   0.7072   0.9713
   0.750   0.4080   0.00593   0.00175  -0.0634   0.6866   0.9904
   1.000   0.4445   0.00603   0.00172  -0.0652   0.6659   1.0000
   1.250   0.4684   0.00615   0.00173  -0.0643   0.6458   1.0000
   1.500   0.4929   0.00628   0.00175  -0.0636   0.6251   1.0000
   2.000   0.5431   0.00659   0.00184  -0.0623   0.5831   1.0000
   2.250   0.5684   0.00677   0.00190  -0.0617   0.5612   1.0000
   2.500   0.5941   0.00694   0.00198  -0.0612   0.5395   1.0000
   2.750   0.6197   0.00713   0.00206  -0.0608   0.5172   1.0000
   3.000   0.6455   0.00733   0.00216  -0.0603   0.4953   1.0000
   3.250   0.6713   0.00754   0.00227  -0.0599   0.4728   1.0000
   3.500   0.6970   0.00777   0.00240  -0.0594   0.4503   1.0000
   3.750   0.7228   0.00800   0.00253  -0.0590   0.4280   1.0000
   4.000   0.7485   0.00824   0.00268  -0.0586   0.4069   1.0000
   4.250   0.7742   0.00849   0.00284  -0.0582   0.3852   1.0000
   4.500   0.7997   0.00876   0.00302  -0.0578   0.3642   1.0000
   4.750   0.8254   0.00902   0.00321  -0.0574   0.3438   1.0000
   5.000   0.8508   0.00930   0.00340  -0.0570   0.3238   1.0000
   5.250   0.8762   0.00960   0.00362  -0.0566   0.3046   1.0000
   5.500   0.9015   0.00989   0.00385  -0.0562   0.2855   1.0000
   5.750   0.9266   0.01021   0.00409  -0.0558   0.2665   1.0000
   6.000   0.9514   0.01055   0.00435  -0.0553   0.2484   1.0000
