  
       XFOIL         Version 6.99
  
 Calculated polar for: SG6051                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -1.750   0.1701   0.00841   0.00289  -0.0810   0.7996   0.4955
  -1.500   0.1987   0.00823   0.00282  -0.0813   0.7952   0.5396
  -1.250   0.2271   0.00802   0.00279  -0.0815   0.7908   0.5997
  -1.000   0.2549   0.00772   0.00279  -0.0816   0.7855   0.6874
  -0.750   0.2786   0.00731   0.00282  -0.0805   0.7810   0.8191
  -0.500   0.2973   0.00706   0.00283  -0.0777   0.7763   0.9322
  -0.250   0.3404   0.00699   0.00276  -0.0808   0.7715   0.9947
   0.000   0.3769   0.00698   0.00268  -0.0828   0.7670   1.0000
   0.250   0.4039   0.00701   0.00264  -0.0828   0.7621   1.0000
   0.500   0.4315   0.00703   0.00262  -0.0829   0.7565   1.0000
   0.750   0.4592   0.00707   0.00259  -0.0830   0.7518   1.0000
   1.000   0.4874   0.00710   0.00260  -0.0832   0.7457   1.0000
   1.250   0.5157   0.00713   0.00259  -0.0833   0.7398   1.0000
   1.500   0.5441   0.00718   0.00260  -0.0836   0.7337   1.0000
   1.750   0.5725   0.00722   0.00262  -0.0838   0.7272   1.0000
   2.000   0.6010   0.00728   0.00264  -0.0840   0.7208   1.0000
   2.250   0.6295   0.00732   0.00267  -0.0843   0.7131   1.0000
   2.500   0.6580   0.00738   0.00271  -0.0845   0.7058   1.0000
   2.750   0.6865   0.00743   0.00275  -0.0847   0.6980   1.0000
   3.000   0.7150   0.00749   0.00281  -0.0850   0.6892   1.0000
   3.250   0.7434   0.00756   0.00285  -0.0852   0.6806   1.0000
   3.500   0.7718   0.00762   0.00292  -0.0854   0.6708   1.0000
   3.750   0.8001   0.00770   0.00300  -0.0856   0.6602   1.0000
   4.000   0.8282   0.00778   0.00308  -0.0858   0.6485   1.0000
   4.250   0.8562   0.00789   0.00318  -0.0859   0.6363   1.0000
   4.500   0.8839   0.00800   0.00328  -0.0860   0.6214   1.0000
   4.750   0.9113   0.00814   0.00340  -0.0860   0.6041   1.0000
   5.000   0.9383   0.00832   0.00354  -0.0860   0.5855   1.0000
   5.250   0.9648   0.00853   0.00369  -0.0859   0.5598   1.0000
   5.500   0.9900   0.00884   0.00389  -0.0856   0.5248   1.0000
   5.750   1.0144   0.00924   0.00416  -0.0852   0.4862   1.0000
   6.000   1.0374   0.00977   0.00449  -0.0846   0.4394   1.0000
