  
       XFOIL         Version 6.99
  
 Calculated polar for: SM701                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.3279   0.00845   0.00333  -0.1238   0.7707   0.6077
  -1.750   0.3550   0.00854   0.00344  -0.1235   0.7650   0.6193
  -1.500   0.3830   0.00867   0.00355  -0.1234   0.7594   0.6320
  -1.250   0.4121   0.00877   0.00361  -0.1235   0.7545   0.6387
  -1.000   0.4396   0.00876   0.00358  -0.1234   0.7484   0.6423
  -0.750   0.4685   0.00877   0.00352  -0.1236   0.7428   0.6454
  -0.500   0.4970   0.00876   0.00348  -0.1237   0.7374   0.6480
  -0.250   0.5242   0.00875   0.00348  -0.1236   0.7309   0.6508
   0.000   0.5530   0.00877   0.00345  -0.1237   0.7249   0.6537
   0.250   0.5804   0.00877   0.00345  -0.1236   0.7183   0.6567
   0.500   0.6084   0.00879   0.00342  -0.1237   0.7114   0.6599
   0.750   0.6361   0.00880   0.00340  -0.1236   0.7044   0.6629
   1.000   0.6629   0.00879   0.00340  -0.1234   0.6966   0.6657
   1.250   0.6901   0.00881   0.00342  -0.1232   0.6888   0.6687
   1.500   0.7169   0.00883   0.00342  -0.1230   0.6800   0.6720
   1.750   0.7436   0.00887   0.00343  -0.1228   0.6706   0.6755
   2.000   0.7702   0.00890   0.00344  -0.1225   0.6610   0.6789
   2.250   0.7955   0.00892   0.00347  -0.1220   0.6491   0.6822
   2.500   0.8207   0.00897   0.00351  -0.1214   0.6358   0.6857
   2.750   0.8454   0.00904   0.00355  -0.1208   0.6203   0.6895
   3.000   0.8690   0.00916   0.00359  -0.1200   0.6012   0.6934
   3.250   0.8908   0.00928   0.00366  -0.1188   0.5761   0.6970
   3.500   0.9108   0.00951   0.00378  -0.1172   0.5475   0.7010
   3.750   0.9297   0.00982   0.00395  -0.1155   0.5176   0.7057
   4.000   0.9481   0.01017   0.00415  -0.1138   0.4884   0.7102
   4.250   0.9660   0.01051   0.00439  -0.1120   0.4618   0.7142
   4.500   0.9846   0.01085   0.00463  -0.1103   0.4380   0.7189
   4.750   1.0021   0.01119   0.00487  -0.1085   0.4168   0.7242
   5.000   1.0195   0.01149   0.00511  -0.1066   0.3965   0.7290
   5.250   1.0372   0.01182   0.00539  -0.1048   0.3781   0.7345
   5.500   1.0557   0.01218   0.00568  -0.1033   0.3617   0.7408
   5.750   1.0740   0.01251   0.00599  -0.1017   0.3464   0.7462
   6.000   1.0928   0.01286   0.00631  -0.1002   0.3321   0.7526
