  
       XFOIL         Version 6.99
  
 Calculated polar for: SIKORSKY SSC-A09  AIRFOIL                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1188   0.00997   0.00344  -0.0145   0.9009   0.0494
  -1.750  -0.0960   0.00772   0.00293  -0.0150   0.8955   0.5037
  -1.500  -0.0752   0.00687   0.00281  -0.0133   0.8883   0.7051
  -1.250  -0.0529   0.00657   0.00268  -0.0114   0.8777   0.7722
  -1.000  -0.0309   0.00636   0.00253  -0.0094   0.8665   0.8141
  -0.750  -0.0104   0.00622   0.00249  -0.0070   0.8579   0.8599
  -0.500   0.0099   0.00621   0.00257  -0.0045   0.8500   0.8980
  -0.250   0.0308   0.00622   0.00256  -0.0023   0.8435   0.9181
   0.000   0.0553   0.00620   0.00252  -0.0012   0.8358   0.9293
   0.250   0.0797   0.00616   0.00243  -0.0001   0.8282   0.9391
   0.500   0.1045   0.00611   0.00234   0.0009   0.8190   0.9494
   0.750   0.1297   0.00604   0.00225   0.0017   0.8091   0.9590
   1.000   0.1567   0.00597   0.00215   0.0022   0.7990   0.9680
   1.250   0.1866   0.00592   0.00205   0.0020   0.7870   0.9763
   1.500   0.2200   0.00588   0.00198   0.0009   0.7710   0.9828
   1.750   0.2556   0.00587   0.00190  -0.0007   0.7485   0.9875
   2.000   0.2921   0.00590   0.00184  -0.0025   0.7126   0.9915
   2.250   0.3280   0.00612   0.00177  -0.0043   0.6425   0.9950
   2.500   0.3644   0.00670   0.00185  -0.0065   0.5283   0.9974
   2.750   0.3994   0.00745   0.00204  -0.0088   0.4019   1.0000
   3.000   0.4242   0.00797   0.00220  -0.0088   0.3241   1.0000
   3.250   0.4486   0.00834   0.00235  -0.0086   0.2771   1.0000
   3.500   0.4732   0.00864   0.00250  -0.0084   0.2468   1.0000
   3.750   0.4989   0.00894   0.00268  -0.0083   0.2254   1.0000
   4.000   0.5256   0.00920   0.00286  -0.0083   0.2102   1.0000
   4.500   0.5805   0.00970   0.00326  -0.0087   0.1876   1.0000
   4.750   0.6083   0.00993   0.00348  -0.0089   0.1783   1.0000
   5.000   0.6360   0.01024   0.00373  -0.0092   0.1704   1.0000
   5.250   0.6641   0.01043   0.00394  -0.0094   0.1640   1.0000
   5.500   0.6915   0.01077   0.00424  -0.0097   0.1572   1.0000
   5.750   0.7197   0.01093   0.00446  -0.0099   0.1516   1.0000
   6.000   0.7471   0.01125   0.00474  -0.0101   0.1448   1.0000
