  
       XFOIL         Version 6.99
  
 Calculated polar for: St. CYR 172 (Royer)                             
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1770   0.00808   0.00259  -0.0121   0.8791   0.4048
  -1.750  -0.1505   0.00798   0.00249  -0.0114   0.8573   0.4157
  -1.500  -0.1261   0.00790   0.00239  -0.0103   0.8268   0.4261
  -1.250  -0.1026   0.00788   0.00224  -0.0089   0.7748   0.4377
  -1.000  -0.0815   0.00796   0.00213  -0.0071   0.7208   0.4501
  -0.750  -0.0606   0.00805   0.00208  -0.0054   0.6756   0.4642
  -0.500  -0.0395   0.00809   0.00205  -0.0037   0.6303   0.4820
  -0.250  -0.0193   0.00814   0.00201  -0.0019   0.5823   0.5060
   0.000   0.0000   0.00816   0.00200  -0.0000   0.5390   0.5389
   0.250   0.0194   0.00814   0.00201   0.0019   0.5062   0.5824
   0.500   0.0395   0.00809   0.00205   0.0037   0.4821   0.6303
   0.750   0.0606   0.00805   0.00208   0.0054   0.4642   0.6759
   1.000   0.0815   0.00796   0.00213   0.0071   0.4500   0.7215
   1.500   0.1262   0.00790   0.00239   0.0103   0.4261   0.8265
   1.750   0.1506   0.00798   0.00249   0.0114   0.4158   0.8577
   2.250   0.2065   0.00814   0.00268   0.0120   0.3937   0.8963
   2.500   0.2399   0.00826   0.00278   0.0111   0.3810   0.9103
   2.750   0.2770   0.00841   0.00291   0.0094   0.3671   0.9221
   3.000   0.3133   0.00859   0.00304   0.0078   0.3529   0.9326
   3.250   0.3560   0.00880   0.00320   0.0049   0.3366   0.9383
   3.500   0.3904   0.00899   0.00334   0.0037   0.3194   0.9466
   3.750   0.4308   0.00923   0.00351   0.0013   0.2989   0.9503
   4.000   0.4653   0.00950   0.00370   0.0000   0.2777   0.9556
   4.250   0.4975   0.00981   0.00388  -0.0008   0.2565   0.9612
   4.500   0.5344   0.01010   0.00410  -0.0026   0.2374   0.9646
   4.750   0.5660   0.01039   0.00431  -0.0033   0.2211   0.9700
   5.000   0.6012   0.01068   0.00453  -0.0048   0.2080   0.9738
   5.250   0.6386   0.01099   0.00476  -0.0067   0.1956   0.9774
   5.500   0.6717   0.01125   0.00501  -0.0078   0.1865   0.9831
   5.750   0.7123   0.01150   0.00522  -0.0104   0.1750   0.9856
   6.000   0.7497   0.01176   0.00543  -0.0125   0.1640   0.9888
