  
       XFOIL         Version 6.99
  
 Calculated polar for: St. CYR 24 (Bartel 35-IIIC)                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.6156   0.00996   0.00343  -0.1354   0.7399   0.0838
  -1.750   0.6401   0.00982   0.00333  -0.1346   0.7326   0.0905
  -1.500   0.6665   0.00970   0.00320  -0.1340   0.7253   0.0983
  -1.250   0.6913   0.00952   0.00307  -0.1333   0.7167   0.1089
  -1.000   0.7167   0.00935   0.00290  -0.1326   0.7075   0.1229
  -0.750   0.7404   0.00913   0.00287  -0.1317   0.6963   0.1630
  -0.500   0.7651   0.00901   0.00288  -0.1309   0.6860   0.2267
  -0.250   0.7894   0.00893   0.00285  -0.1301   0.6746   0.2632
   0.000   0.8127   0.00881   0.00286  -0.1291   0.6609   0.3170
   0.250   0.8249   0.00789   0.00303  -0.1262   0.6465   0.7372
   0.750   0.9099   0.00785   0.00317  -0.1322   0.6015   1.0000
   1.000   0.9276   0.00809   0.00326  -0.1300   0.5787   1.0000
   1.250   0.9455   0.00835   0.00337  -0.1280   0.5567   1.0000
   1.500   0.9634   0.00863   0.00351  -0.1259   0.5365   1.0000
   1.750   0.9816   0.00890   0.00367  -0.1240   0.5186   1.0000
   2.000   0.9999   0.00917   0.00384  -0.1221   0.5017   1.0000
   2.250   1.0182   0.00944   0.00401  -0.1202   0.4857   1.0000
   2.500   1.0361   0.00972   0.00419  -0.1183   0.4698   1.0000
   2.750   1.0535   0.01000   0.00438  -0.1163   0.4539   1.0000
   3.000   1.0690   0.01028   0.00458  -0.1139   0.4378   1.0000
   3.250   1.0834   0.01058   0.00479  -0.1113   0.4212   1.0000
   3.500   1.0976   0.01091   0.00503  -0.1087   0.4039   1.0000
   3.750   1.1115   0.01127   0.00530  -0.1062   0.3849   1.0000
   4.000   1.1250   0.01168   0.00560  -0.1036   0.3650   1.0000
   4.250   1.1370   0.01216   0.00596  -0.1009   0.3432   1.0000
   4.500   1.1495   0.01267   0.00635  -0.0983   0.3203   1.0000
   4.750   1.1609   0.01326   0.00679  -0.0957   0.2964   1.0000
   5.000   1.1719   0.01391   0.00730  -0.0931   0.2734   1.0000
   5.250   1.1842   0.01453   0.00781  -0.0908   0.2546   1.0000
   5.500   1.1975   0.01515   0.00833  -0.0887   0.2409   1.0000
   6.000   1.2267   0.01630   0.00938  -0.0851   0.2229   1.0000
