  
       XFOIL         Version 6.99
  
 Calculated polar for: HAWKER TEMPEST 96.77% SEMISPAN AIRFOIL          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1154   0.00607   0.00228  -0.0228   0.9187   0.7941
  -1.750  -0.0906   0.00599   0.00225  -0.0218   0.9103   0.8256
  -1.500  -0.0604   0.00592   0.00220  -0.0221   0.9046   0.8514
  -1.250  -0.0323   0.00590   0.00219  -0.0218   0.8962   0.8713
  -1.000  -0.0028   0.00590   0.00218  -0.0219   0.8887   0.8883
  -0.750   0.0269   0.00592   0.00217  -0.0220   0.8805   0.9031
  -0.500   0.0564   0.00600   0.00224  -0.0220   0.8712   0.9189
  -0.250   0.0903   0.00617   0.00238  -0.0229   0.8628   0.9328
   0.000   0.1279   0.00631   0.00248  -0.0247   0.8536   0.9400
   0.250   0.1615   0.00643   0.00256  -0.0257   0.8423   0.9465
   0.500   0.2012   0.00653   0.00261  -0.0282   0.8302   0.9491
   0.750   0.2379   0.00662   0.00265  -0.0300   0.8168   0.9525
   1.000   0.2675   0.00671   0.00270  -0.0303   0.8029   0.9584
   1.250   0.3062   0.00679   0.00274  -0.0326   0.7893   0.9601
   1.500   0.3431   0.00688   0.00279  -0.0346   0.7750   0.9626
   1.750   0.3767   0.00697   0.00285  -0.0358   0.7585   0.9664
   2.000   0.4054   0.00707   0.00290  -0.0360   0.7378   0.9715
   2.250   0.4418   0.00716   0.00293  -0.0379   0.7145   0.9736
   2.500   0.4766   0.00726   0.00299  -0.0394   0.6918   0.9765
   2.750   0.5084   0.00738   0.00305  -0.0404   0.6672   0.9804
   3.000   0.5390   0.00752   0.00312  -0.0410   0.6387   0.9843
   3.250   0.5727   0.00770   0.00315  -0.0425   0.5923   0.9868
   3.500   0.6045   0.00794   0.00323  -0.0436   0.5406   0.9902
   3.750   0.6339   0.00831   0.00335  -0.0442   0.4728   0.9939
   4.000   0.6633   0.00894   0.00350  -0.0452   0.3612   0.9971
   4.250   0.6932   0.00967   0.00378  -0.0464   0.2581   1.0000
   4.500   0.7072   0.01033   0.00407  -0.0441   0.1794   1.0000
   4.750   0.7206   0.01105   0.00443  -0.0417   0.1062   1.0000
   5.000   0.7337   0.01180   0.00487  -0.0392   0.0498   1.0000
   5.250   0.7488   0.01241   0.00541  -0.0368   0.0322   1.0000
   5.500   0.7637   0.01301   0.00603  -0.0343   0.0256   1.0000
   5.750   0.7802   0.01345   0.00655  -0.0322   0.0229   1.0000
   6.000   0.7958   0.01395   0.00710  -0.0298   0.0206   1.0000
