  
       XFOIL         Version 6.99
  
 Calculated polar for: TRAINER60                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.2346   0.00979   0.00330   0.0042   0.6012   0.4606
  -1.750  -0.2064   0.00980   0.00325   0.0044   0.5921   0.4695
  -1.500  -0.1784   0.00972   0.00322   0.0046   0.5824   0.4784
  -1.000  -0.1221   0.00968   0.00317   0.0050   0.5619   0.4960
  -0.750  -0.0944   0.00970   0.00314   0.0053   0.5501   0.5049
  -0.500  -0.0660   0.00969   0.00312   0.0055   0.5378   0.5136
  -0.250  -0.0382   0.00970   0.00312   0.0058   0.5269   0.5228
   0.000  -0.0099   0.00974   0.00312   0.0060   0.5158   0.5317
   0.250   0.0181   0.00975   0.00315   0.0062   0.5055   0.5407
   0.500   0.0462   0.00981   0.00318   0.0064   0.4958   0.5509
   0.750   0.0742   0.00986   0.00322   0.0066   0.4874   0.5601
   1.000   0.1026   0.00989   0.00328   0.0068   0.4792   0.5698
   1.250   0.1307   0.00996   0.00330   0.0070   0.4705   0.5782
   1.500   0.1597   0.00997   0.00336   0.0070   0.4631   0.5863
   1.750   0.1885   0.01002   0.00340   0.0070   0.4555   0.5934
   2.000   0.2171   0.01011   0.00344   0.0071   0.4481   0.6000
   2.250   0.2471   0.01009   0.00350   0.0068   0.4409   0.6076
   2.500   0.2760   0.01015   0.00355   0.0068   0.4330   0.6150
   2.750   0.3049   0.01025   0.00361   0.0068   0.4255   0.6217
   3.000   0.3356   0.01023   0.00367   0.0064   0.4183   0.6289
   3.250   0.3650   0.01030   0.00374   0.0062   0.4102   0.6363
   3.500   0.3946   0.01037   0.00382   0.0061   0.4025   0.6436
   3.750   0.4254   0.01039   0.00389   0.0056   0.3933   0.6519
   4.000   0.4551   0.01049   0.00399   0.0053   0.3846   0.6606
   4.250   0.4861   0.01053   0.00408   0.0048   0.3749   0.6693
   4.500   0.5166   0.01062   0.00420   0.0044   0.3647   0.6790
   4.750   0.5474   0.01070   0.00431   0.0039   0.3528   0.6893
   5.000   0.5787   0.01079   0.00444   0.0032   0.3391   0.7021
   5.250   0.6096   0.01093   0.00460   0.0026   0.3225   0.7158
   5.750   0.6708   0.01135   0.00500   0.0014   0.2818   0.7499
   6.000   0.7015   0.01164   0.00527   0.0007   0.2626   0.7697
