  
       XFOIL         Version 6.99
  
 Calculated polar for: TSAGI 12% AIRFOIL                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1110   0.00764   0.00208  -0.0068   0.7119   0.5359
  -1.750  -0.1055   0.00691   0.00198  -0.0019   0.7027   0.7027
  -1.500  -0.0772   0.00656   0.00209  -0.0015   0.6939   0.8334
  -1.250  -0.0335   0.00668   0.00224  -0.0046   0.6849   0.8849
  -1.000   0.0136   0.00690   0.00241  -0.0085   0.6750   0.9045
  -0.750   0.0492   0.00711   0.00255  -0.0099   0.6659   0.9163
  -0.500   0.0834   0.00733   0.00268  -0.0110   0.6567   0.9238
  -0.250   0.1169   0.00753   0.00281  -0.0120   0.6466   0.9295
   0.000   0.1581   0.00782   0.00303  -0.0146   0.6368   0.9332
   0.250   0.1864   0.00807   0.00319  -0.0145   0.6272   0.9416
   0.500   0.2360   0.00841   0.00348  -0.0189   0.6158   0.9447
   0.750   0.2752   0.00881   0.00382  -0.0210   0.6048   0.9543
   1.000   0.3391   0.00922   0.00416  -0.0283   0.5915   0.9593
   1.250   0.3714   0.00933   0.00422  -0.0293   0.5797   0.9640
   1.500   0.4106   0.00944   0.00427  -0.0317   0.5665   0.9681
   1.750   0.4443   0.00945   0.00423  -0.0331   0.5534   0.9701
   2.000   0.4755   0.00949   0.00422  -0.0340   0.5398   0.9728
   2.250   0.5001   0.00960   0.00429  -0.0335   0.5273   0.9769
   2.500   0.5346   0.00959   0.00422  -0.0351   0.5144   0.9782
   2.750   0.5675   0.00960   0.00420  -0.0364   0.5017   0.9800
   3.000   0.5989   0.00964   0.00421  -0.0373   0.4899   0.9823
   3.250   0.6275   0.00972   0.00427  -0.0377   0.4788   0.9852
   3.500   0.6584   0.00977   0.00429  -0.0386   0.4679   0.9873
   3.750   0.6911   0.00978   0.00427  -0.0399   0.4557   0.9890
   4.250   0.7534   0.00988   0.00437  -0.0418   0.4368   0.9933
   4.500   0.7841   0.00995   0.00443  -0.0426   0.4284   0.9953
   4.750   0.8165   0.00997   0.00446  -0.0439   0.4181   0.9970
   5.000   0.8484   0.00999   0.00448  -0.0451   0.4042   0.9990
   5.250   0.8762   0.01008   0.00455  -0.0453   0.3888   1.0000
   5.500   0.8979   0.01019   0.00467  -0.0443   0.3721   1.0000
   5.750   0.9193   0.01032   0.00480  -0.0432   0.3552   1.0000
   6.000   0.9400   0.01051   0.00495  -0.0420   0.3345   1.0000
