  
       XFOIL         Version 6.99
  
 Calculated polar for: UA(2)-180 (University of Alberta/Marsden)       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -1.250   0.4724   0.00718  -0.00050  -0.0937   0.5104   0.0363
  -1.000   0.4987   0.00682  -0.00086  -0.0934   0.5094   0.0360
  -0.750   0.5244   0.00643  -0.00126  -0.0930   0.5083   0.0349
  -0.500   0.5500   0.00617  -0.00154  -0.0925   0.5072   0.0342
  -0.250   0.5753   0.00596  -0.00176  -0.0921   0.5062   0.0345
   0.000   0.6007   0.00578  -0.00195  -0.0918   0.5052   0.0352
   0.250   0.6266   0.00566  -0.00208  -0.0915   0.5044   0.0365
   0.500   0.6524   0.00552  -0.00225  -0.0913   0.5033   0.0376
   0.750   0.6781   0.00541  -0.00237  -0.0911   0.5022   0.0387
   1.000   0.7038   0.00543  -0.00236  -0.0909   0.5010   0.0404
   1.250   0.7289   0.00539  -0.00239  -0.0906   0.5002   0.0426
   1.500   0.7538   0.00534  -0.00241  -0.0902   0.4989   0.0464
   1.750   0.7789   0.00531  -0.00239  -0.0898   0.4974   0.0568
   2.000   0.7904   0.00444  -0.00186  -0.0875   0.4962   0.5847
   2.500   0.9489   0.00387  -0.00155  -0.1086   0.4926   0.9974
   2.750   0.9856   0.00387  -0.00161  -0.1108   0.4913   1.0000
   3.000   1.0079   0.00390  -0.00162  -0.1100   0.4901   1.0000
   3.250   1.0308   0.00394  -0.00163  -0.1094   0.4890   1.0000
   3.500   1.0542   0.00401  -0.00163  -0.1088   0.4879   1.0000
   3.750   1.0775   0.00414  -0.00154  -0.1083   0.4867   1.0000
   4.000   1.0971   0.00422  -0.00143  -0.1071   0.4855   1.0000
   4.250   1.1165   0.00430  -0.00132  -0.1058   0.4841   1.0000
   4.500   1.1365   0.00438  -0.00121  -0.1047   0.4825   1.0000
   4.750   1.1571   0.00443  -0.00114  -0.1036   0.4808   1.0000
   5.000   1.1786   0.00446  -0.00110  -0.1027   0.4790   1.0000
   5.250   1.2010   0.00448  -0.00109  -0.1020   0.4774   1.0000
   5.500   1.2243   0.00450  -0.00109  -0.1014   0.4760   1.0000
   5.750   1.2490   0.00447  -0.00116  -0.1011   0.4744   1.0000
   6.000   1.2741   0.00450  -0.00118  -0.1009   0.4728   1.0000
