  
       XFOIL         Version 6.99
  
 Calculated polar for: UA(2)-180 smoothed, original ycoord oscillate + 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.4001   0.01934   0.01179  -0.0982   0.5195   0.0607
  -1.750   0.4253   0.01973   0.01223  -0.0981   0.5188   0.0753
  -1.500   0.4570   0.01678   0.00879  -0.0962   0.5180   0.0335
  -1.250   0.4826   0.01646   0.00848  -0.0958   0.5170   0.0335
  -1.000   0.5079   0.01621   0.00825  -0.0953   0.5162   0.0339
  -0.750   0.5333   0.01603   0.00809  -0.0949   0.5154   0.0345
  -0.500   0.5588   0.01591   0.00797  -0.0945   0.5145   0.0356
  -0.250   0.5844   0.01580   0.00786  -0.0941   0.5135   0.0362
   0.000   0.6102   0.01570   0.00775  -0.0937   0.5124   0.0369
   0.250   0.6356   0.01557   0.00763  -0.0933   0.5114   0.0379
   0.500   0.6618   0.01552   0.00758  -0.0931   0.5104   0.0394
   0.750   0.6886   0.01549   0.00753  -0.0929   0.5093   0.0417
   1.000   0.7156   0.01546   0.00748  -0.0928   0.5081   0.0468
   1.500   0.7412   0.01363   0.00771  -0.0877   0.5061   0.7489
   1.750   0.8793   0.01397   0.00840  -0.1101   0.5041   0.9892
   2.000   0.9397   0.01398   0.00837  -0.1171   0.5030   0.9977
   2.250   0.9748   0.01404   0.00842  -0.1189   0.5017   1.0000
   2.500   0.9958   0.01415   0.00852  -0.1179   0.5004   1.0000
   2.750   1.0173   0.01426   0.00861  -0.1169   0.4989   1.0000
   3.000   1.0389   0.01433   0.00867  -0.1160   0.4972   1.0000
   3.250   1.0611   0.01440   0.00872  -0.1151   0.4957   1.0000
   3.500   1.0838   0.01444   0.00873  -0.1143   0.4942   1.0000
   3.750   1.1076   0.01447   0.00872  -0.1137   0.4928   1.0000
   4.000   1.1323   0.01452   0.00871  -0.1133   0.4914   1.0000
   4.250   1.1576   0.01467   0.00880  -0.1130   0.4898   1.0000
   4.500   1.1796   0.01490   0.00903  -0.1122   0.4881   1.0000
   4.750   1.1996   0.01495   0.00912  -0.1110   0.4865   1.0000
   5.000   1.2203   0.01504   0.00924  -0.1098   0.4847   1.0000
   5.250   1.2416   0.01510   0.00933  -0.1088   0.4828   1.0000
   5.500   1.2638   0.01515   0.00939  -0.1080   0.4810   1.0000
   5.750   1.2870   0.01517   0.00940  -0.1073   0.4794   1.0000
   6.000   1.3116   0.01516   0.00937  -0.1069   0.4778   1.0000
