  
       XFOIL         Version 6.99
  
 Calculated polar for: UNIVERSITY OF ALBERTA UA 79-SF-187 AIRFOIL MAIN 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0761   0.01338   0.01020  -0.0575   0.0322   2.2026
  -1.750   0.1101   0.01355   0.01030  -0.0580   0.0326   2.1860
  -1.500   0.1389   0.01362   0.01031  -0.0582   0.0330   2.1506
  -1.250   0.1747   0.01363   0.01026  -0.0590   0.0333   2.1440
  -1.000   0.2086   0.01356   0.01014  -0.0597   0.0335   2.1367
  -0.250   0.2498   0.01357   0.01012  -0.0542   0.0543   2.1042
   0.000   0.2768   0.01348   0.01001  -0.0542   0.0561   2.0880
   0.250   0.3035   0.01348   0.00997  -0.0542   0.0574   2.0661
   0.500   0.3345   0.01327   0.00975  -0.0545   0.0582   2.0592
   0.750   0.3655   0.01306   0.00953  -0.0550   0.0589   2.0506
   1.000   0.3961   0.01283   0.00929  -0.0554   0.0596   2.0400
   1.250   0.4258   0.01257   0.00903  -0.0557   0.0603   2.0293
   1.500   0.4551   0.01229   0.00874  -0.0560   0.0613   2.0185
   2.250   0.4973   0.01170   0.00818  -0.0514   0.0908   2.0016
   2.500   0.5158   0.01131   0.00779  -0.0508   0.0952   2.0016
   2.750   0.5375   0.01085   0.00732  -0.0505   0.0976   2.0016
   3.000   0.5610   0.01031   0.00679  -0.0503   0.0992   2.0016
   3.250   0.5849   0.00975   0.00623  -0.0502   0.1006   2.0016
   3.500   0.6086   0.00921   0.00570  -0.0501   0.1017   2.0016
   3.750   0.6319   0.00873   0.00524  -0.0499   0.1027   2.0016
   4.750   0.7070   0.00703   0.00361  -0.0465   0.1342   2.0016
   5.500   0.7174   0.00637   0.00297  -0.0374   0.2366   2.0016
   5.750   0.7346   0.00589   0.00241  -0.0360   0.3059   2.0016
   6.000   0.7649   0.00527   0.00152  -0.0363   0.4477   2.0016
