  
       XFOIL         Version 6.99
  
 Calculated polar for: UAG 88-143/20                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.4310   0.01403   0.00743  -0.1393   0.7708   0.0763
  -1.750   0.4606   0.01379   0.00720  -0.1397   0.7700   0.0894
  -1.500   0.4903   0.01354   0.00701  -0.1403   0.7692   0.1161
  -1.250   0.4960   0.01379   0.00742  -0.1363   0.7634   0.1505
  -1.000   0.5194   0.01337   0.00732  -0.1357   0.7616   0.2527
  -0.750   0.5419   0.01271   0.00716  -0.1350   0.7602   0.4283
  -0.500   0.5599   0.01191   0.00700  -0.1332   0.7590   0.6483
  -0.250   0.6414   0.01133   0.00720  -0.1444   0.7591   0.9567
   0.000   0.6976   0.01130   0.00710  -0.1505   0.7586   0.9749
   0.250   0.7612   0.01124   0.00696  -0.1582   0.7581   0.9873
   0.500   0.8351   0.01110   0.00675  -0.1683   0.7578   0.9974
   0.750   0.8787   0.01092   0.00650  -0.1720   0.7569   1.0000
   1.000   0.8825   0.01120   0.00682  -0.1676   0.7515   1.0000
   1.250   0.9053   0.01107   0.00667  -0.1668   0.7492   1.0000
   1.500   0.9317   0.01088   0.00645  -0.1667   0.7474   1.0000
   1.750   0.9600   0.01067   0.00619  -0.1669   0.7460   1.0000
   2.000   0.9902   0.01046   0.00594  -0.1676   0.7446   1.0000
   2.250   0.9954   0.01067   0.00620  -0.1632   0.7391   1.0000
   2.500   1.0191   0.01054   0.00607  -0.1626   0.7364   1.0000
   2.750   1.0469   0.01035   0.00586  -0.1627   0.7344   1.0000
   3.000   1.0784   0.01013   0.00560  -0.1636   0.7325   1.0000
   3.250   1.0859   0.01028   0.00581  -0.1597   0.7270   1.0000
   3.500   1.1094   0.01016   0.00569  -0.1589   0.7236   1.0000
   3.750   1.1397   0.00995   0.00546  -0.1596   0.7208   1.0000
   4.000   1.1522   0.01004   0.00558  -0.1566   0.7157   1.0000
   4.250   1.1728   0.00998   0.00554  -0.1553   0.7112   1.0000
   4.500   1.2021   0.00984   0.00538  -0.1557   0.7078   1.0000
   4.750   1.2108   0.00997   0.00557  -0.1520   0.7015   1.0000
   5.000   1.2336   0.00992   0.00551  -0.1511   0.6965   1.0000
   5.250   1.2483   0.00999   0.00561  -0.1486   0.6904   1.0000
   5.500   1.2654   0.01001   0.00566  -0.1465   0.6842   1.0000
   5.750   1.2784   0.01012   0.00579  -0.1436   0.6772   1.0000
   6.000   1.2938   0.01015   0.00581  -0.1412   0.6700   1.0000
