  
       XFOIL         Version 6.99
  
 Calculated polar for: US1000ROOT                                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.1752   0.00956   0.00289  -0.0103   0.6187   0.4105
  -1.750  -0.1535   0.00955   0.00283  -0.0089   0.6013   0.4197
  -1.500  -0.1320   0.00952   0.00278  -0.0076   0.5834   0.4286
  -1.250  -0.1101   0.00952   0.00273  -0.0063   0.5662   0.4382
  -1.000  -0.0883   0.00953   0.00270  -0.0050   0.5496   0.4484
  -0.750  -0.0669   0.00952   0.00268  -0.0036   0.5339   0.4591
  -0.500  -0.0452   0.00952   0.00266  -0.0023   0.5195   0.4700
  -0.250  -0.0231   0.00952   0.00264  -0.0010   0.5060   0.4814
   0.000  -0.0008   0.00952   0.00264   0.0002   0.4935   0.4934
   0.250   0.0215   0.00952   0.00265   0.0014   0.4816   0.5060
   0.750   0.0654   0.00952   0.00268   0.0039   0.4589   0.5337
   1.000   0.0866   0.00953   0.00270   0.0053   0.4485   0.5496
   1.250   0.1085   0.00952   0.00274   0.0066   0.4383   0.5660
   1.500   0.1303   0.00952   0.00278   0.0079   0.4286   0.5833
   1.750   0.1519   0.00955   0.00283   0.0093   0.4197   0.6010
   2.000   0.1735   0.00956   0.00289   0.0106   0.4106   0.6191
   2.250   0.1951   0.00957   0.00296   0.0120   0.4019   0.6376
   2.500   0.2160   0.00963   0.00304   0.0135   0.3937   0.6567
   2.750   0.2380   0.00964   0.00313   0.0148   0.3850   0.6751
   3.000   0.2592   0.00970   0.00323   0.0163   0.3773   0.6930
   3.250   0.2807   0.00976   0.00334   0.0177   0.3699   0.7116
   3.500   0.3021   0.00984   0.00346   0.0191   0.3630   0.7282
   3.750   0.3235   0.00992   0.00358   0.0205   0.3558   0.7439
   4.000   0.3433   0.01000   0.00366   0.0222   0.3407   0.7592
   4.250   0.3647   0.01009   0.00378   0.0237   0.3329   0.7733
   4.500   0.3853   0.01020   0.00391   0.0252   0.3269   0.7867
   4.750   0.4067   0.01030   0.00404   0.0266   0.3201   0.7994
   5.000   0.4260   0.01043   0.00415   0.0284   0.3107   0.8115
   5.250   0.4467   0.01051   0.00427   0.0299   0.3021   0.8238
   5.500   0.4674   0.01061   0.00439   0.0314   0.2919   0.8353
   5.750   0.4877   0.01073   0.00449   0.0329   0.2766   0.8466
   6.000   0.5093   0.01086   0.00462   0.0341   0.2667   0.8577
