  
       XFOIL         Version 6.99
  
 Calculated polar for: USA 45 M AIRFOIL                                
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0796   0.01283   0.00514  -0.0442   0.5248   0.0448
  -1.750   0.1046   0.01246   0.00467  -0.0435   0.5059   0.0450
  -1.500   0.1298   0.01217   0.00429  -0.0429   0.4904   0.0456
  -1.250   0.1549   0.01192   0.00396  -0.0422   0.4775   0.0462
  -1.000   0.1802   0.01169   0.00367  -0.0416   0.4660   0.0470
  -0.750   0.2057   0.01150   0.00342  -0.0410   0.4559   0.0479
  -0.500   0.2311   0.01136   0.00322  -0.0404   0.4472   0.0489
  -0.250   0.2572   0.01125   0.00306  -0.0400   0.4391   0.0503
   0.000   0.2828   0.01113   0.00289  -0.0394   0.4321   0.0521
   0.250   0.3085   0.01092   0.00266  -0.0389   0.4249   0.0553
   0.500   0.3344   0.01089   0.00257  -0.0384   0.4185   0.0588
   0.750   0.3610   0.01080   0.00247  -0.0380   0.4122   0.0653
   1.000   0.3801   0.00981   0.00236  -0.0367   0.4071   0.3768
   1.250   0.4145   0.00838   0.00270  -0.0376   0.4013   0.9585
   1.500   0.4783   0.00865   0.00285  -0.0449   0.3933   0.9835
   1.750   0.5357   0.00883   0.00293  -0.0511   0.3867   0.9932
   2.000   0.5913   0.00891   0.00292  -0.0571   0.3799   1.0000
   2.250   0.6137   0.00904   0.00297  -0.0560   0.3750   1.0000
   2.500   0.6370   0.00908   0.00301  -0.0551   0.3704   1.0000
   2.750   0.6601   0.00916   0.00306  -0.0542   0.3658   1.0000
   3.000   0.6827   0.00930   0.00314  -0.0532   0.3612   1.0000
   3.250   0.7059   0.00939   0.00322  -0.0522   0.3568   1.0000
   3.500   0.7293   0.00948   0.00330  -0.0513   0.3520   1.0000
   3.750   0.7521   0.00962   0.00339  -0.0504   0.3474   1.0000
   4.000   0.7753   0.00974   0.00350  -0.0494   0.3427   1.0000
   4.250   0.7987   0.00982   0.00359  -0.0485   0.3373   1.0000
   4.500   0.8214   0.00999   0.00370  -0.0475   0.3323   1.0000
   4.750   0.8450   0.01011   0.00384  -0.0467   0.3281   1.0000
   5.000   0.8686   0.01022   0.00397  -0.0458   0.3238   1.0000
   5.250   0.8916   0.01038   0.00411  -0.0449   0.3193   1.0000
   5.500   0.9149   0.01054   0.00426  -0.0440   0.3145   1.0000
   5.750   0.9386   0.01064   0.00440  -0.0432   0.3090   1.0000
   6.000   0.9612   0.01085   0.00455  -0.0423   0.3030   1.0000
