  
       XFOIL         Version 6.99
  
 Calculated polar for: USA 5 AIRFOIL                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2145   0.00883   0.00296  -0.0811   0.8679   0.0294
  -1.750   0.2398   0.00839   0.00247  -0.0802   0.8535   0.0478
  -1.500   0.2658   0.00829   0.00233  -0.0796   0.8378   0.0663
  -1.250   0.2927   0.00838   0.00236  -0.0792   0.8201   0.0828
  -1.000   0.3191   0.00850   0.00234  -0.0786   0.7992   0.0939
  -0.750   0.3439   0.00845   0.00219  -0.0778   0.7767   0.1028
  -0.500   0.3685   0.00840   0.00203  -0.0769   0.7537   0.1098
  -0.250   0.3931   0.00843   0.00194  -0.0761   0.7301   0.1169
   0.000   0.4171   0.00843   0.00180  -0.0752   0.7060   0.1214
   0.250   0.4407   0.00841   0.00169  -0.0742   0.6815   0.1271
   0.500   0.4648   0.00848   0.00164  -0.0733   0.6570   0.1325
   0.750   0.4882   0.00850   0.00158  -0.0723   0.6320   0.1390
   1.000   0.5119   0.00859   0.00155  -0.0714   0.6056   0.1450
   1.250   0.5351   0.00867   0.00154  -0.0704   0.5758   0.1516
   1.500   0.5581   0.00880   0.00155  -0.0694   0.5414   0.1605
   1.750   0.5801   0.00894   0.00160  -0.0682   0.5007   0.1830
   2.000   0.6931   0.00776   0.00193  -0.0888   0.4438   1.0000
   2.250   0.7170   0.00799   0.00203  -0.0880   0.4259   1.0000
   2.500   0.7412   0.00820   0.00214  -0.0872   0.4122   1.0000
   2.750   0.7657   0.00838   0.00227  -0.0866   0.4012   1.0000
   3.000   0.7902   0.00856   0.00240  -0.0860   0.3920   1.0000
   3.250   0.8146   0.00875   0.00255  -0.0853   0.3834   1.0000
   3.500   0.8395   0.00890   0.00270  -0.0847   0.3753   1.0000
   3.750   0.8638   0.00909   0.00286  -0.0840   0.3674   1.0000
   4.000   0.8880   0.00929   0.00302  -0.0834   0.3548   1.0000
   4.250   0.9122   0.00948   0.00318  -0.0827   0.3412   1.0000
   4.500   0.9362   0.00967   0.00335  -0.0820   0.3213   1.0000
   4.750   0.9590   0.00997   0.00352  -0.0811   0.2893   1.0000
   5.000   0.9721   0.01120   0.00402  -0.0788   0.1647   1.0000
   5.250   0.9800   0.01310   0.00512  -0.0756   0.0212   1.0000
   5.500   1.0020   0.01356   0.00571  -0.0743   0.0154   1.0000
   5.750   1.0236   0.01406   0.00635  -0.0730   0.0136   1.0000
   6.000   1.0439   0.01467   0.00710  -0.0715   0.0126   1.0000
