  
       XFOIL         Version 6.99
  
 Calculated polar for: USA 98 AIRFOIL                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.5538   0.01344   0.00642  -0.1896   0.6986   0.0645
  -1.750   0.5830   0.01314   0.00609  -0.1898   0.6930   0.0650
  -1.500   0.6120   0.01286   0.00579  -0.1898   0.6869   0.0657
  -1.250   0.6410   0.01268   0.00554  -0.1899   0.6812   0.0662
  -1.000   0.6701   0.01241   0.00523  -0.1901   0.6755   0.0670
  -0.750   0.6990   0.01205   0.00493  -0.1903   0.6692   0.0684
  -0.500   0.7278   0.01191   0.00477  -0.1904   0.6632   0.0697
  -0.250   0.7568   0.01180   0.00464  -0.1905   0.6574   0.0709
   0.000   0.7856   0.01166   0.00452  -0.1905   0.6509   0.0722
   0.250   0.8143   0.01159   0.00441  -0.1905   0.6447   0.0735
   0.500   0.8432   0.01148   0.00428  -0.1906   0.6386   0.0750
   0.750   0.8720   0.01134   0.00418  -0.1907   0.6321   0.0772
   1.000   0.9004   0.01133   0.00413  -0.1907   0.6258   0.0800
   1.500   0.9574   0.01122   0.00405  -0.1907   0.6129   0.0877
   2.000   1.0147   0.01078   0.00407  -0.1911   0.5989   0.2703
   2.250   1.0420   0.01075   0.00420  -0.1909   0.5908   0.3569
   2.500   1.0691   0.01080   0.00431  -0.1906   0.5822   0.3899
   2.750   1.0959   0.01089   0.00440  -0.1903   0.5741   0.4131
   3.000   1.1231   0.01099   0.00452  -0.1900   0.5674   0.4331
   3.250   1.1502   0.01107   0.00464  -0.1897   0.5604   0.4539
   3.500   1.1768   0.01120   0.00477  -0.1893   0.5539   0.4756
   3.750   1.2040   0.01126   0.00492  -0.1891   0.5476   0.4979
   4.000   1.2305   0.01135   0.00504  -0.1887   0.5408   0.5209
   4.250   1.2567   0.01146   0.00520  -0.1883   0.5342   0.5511
   4.500   1.2834   0.01144   0.00539  -0.1880   0.5276   0.6075
   4.750   1.3024   0.01094   0.00551  -0.1860   0.5214   1.0000
   5.000   1.3284   0.01113   0.00566  -0.1855   0.5144   1.0000
   5.250   1.3537   0.01130   0.00580  -0.1849   0.5059   1.0000
   5.500   1.3784   0.01152   0.00596  -0.1841   0.4981   1.0000
   5.750   1.4037   0.01169   0.00613  -0.1835   0.4903   1.0000
   6.000   1.4273   0.01196   0.00633  -0.1826   0.4825   1.0000
