  
       XFOIL         Version 6.99
  
 Calculated polar for: BOEING-VERTOL VR-11X AIRFOIL                    
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0030   0.01261   0.00595  -0.0331   0.8718   0.0230
  -1.750   0.0207   0.01218   0.00552  -0.0318   0.8657   0.0250
  -1.500   0.0427   0.01170   0.00499  -0.0299   0.8615   0.0278
  -1.250   0.0682   0.01139   0.00468  -0.0291   0.8563   0.0317
  -1.000   0.0924   0.01094   0.00426  -0.0279   0.8513   0.0471
  -0.750   0.0974   0.00875   0.00386  -0.0237   0.8478   0.5628
   0.000   0.2926   0.00819   0.00445  -0.0453   0.8304   0.9940
   0.250   0.3395   0.00802   0.00422  -0.0492   0.8231   0.9993
   0.500   0.3682   0.00785   0.00402  -0.0494   0.8151   1.0000
   0.750   0.3928   0.00764   0.00376  -0.0486   0.8063   1.0000
   1.000   0.4188   0.00745   0.00355  -0.0482   0.7929   1.0000
   1.250   0.4453   0.00728   0.00337  -0.0480   0.7669   1.0000
   1.500   0.4691   0.00758   0.00286  -0.0468   0.6053   1.0000
   1.750   0.4968   0.00827   0.00304  -0.0474   0.5074   1.0000
   2.000   0.5227   0.00891   0.00321  -0.0476   0.4119   1.0000
   2.500   0.5718   0.00988   0.00352  -0.0472   0.2913   1.0000
   2.750   0.5959   0.01022   0.00365  -0.0468   0.2515   1.0000
   3.000   0.6200   0.01053   0.00379  -0.0463   0.2286   1.0000
   3.250   0.6440   0.01080   0.00395  -0.0458   0.2157   1.0000
   3.500   0.6682   0.01100   0.00410  -0.0452   0.2076   1.0000
   3.750   0.6917   0.01127   0.00429  -0.0445   0.2009   1.0000
   4.000   0.7158   0.01144   0.00445  -0.0439   0.1967   1.0000
   4.250   0.7393   0.01165   0.00465  -0.0432   0.1926   1.0000
   4.500   0.7622   0.01194   0.00488  -0.0424   0.1886   1.0000
   4.750   0.7850   0.01220   0.00513  -0.0416   0.1853   1.0000
   5.000   0.8085   0.01238   0.00534  -0.0409   0.1825   1.0000
   5.250   0.8316   0.01259   0.00555  -0.0401   0.1793   1.0000
   5.500   0.8539   0.01287   0.00579  -0.0392   0.1751   1.0000
   5.750   0.8756   0.01320   0.00609  -0.0382   0.1707   1.0000
   6.000   0.8992   0.01332   0.00625  -0.0375   0.1670   1.0000
