  
       XFOIL         Version 6.99
  
 Calculated polar for: BOEING-VERTOL VR-13 AIRFOIL                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0816   0.01044   0.00381  -0.0096   0.8435   0.0436
  -1.750  -0.0550   0.01018   0.00352  -0.0091   0.8336   0.0450
  -1.500  -0.0299   0.00970   0.00298  -0.0083   0.8242   0.0484
  -1.250  -0.0035   0.00946   0.00270  -0.0077   0.8148   0.0525
  -0.750   0.0493   0.00881   0.00222  -0.0068   0.7963   0.1146
  -0.500   0.0593   0.00672   0.00196  -0.0038   0.7873   0.6469
  -0.250   0.1104   0.00608   0.00228  -0.0078   0.7772   0.9499
   0.000   0.1687   0.00652   0.00262  -0.0137   0.7645   0.9826
   0.250   0.2429   0.00680   0.00277  -0.0233   0.7480   1.0000
   0.500   0.2697   0.00678   0.00265  -0.0231   0.7316   1.0000
   0.750   0.2965   0.00677   0.00255  -0.0229   0.7120   1.0000
   1.000   0.3234   0.00679   0.00245  -0.0226   0.6850   1.0000
   1.250   0.3505   0.00686   0.00236  -0.0224   0.6471   1.0000
   1.500   0.3778   0.00707   0.00229  -0.0224   0.5817   1.0000
   1.750   0.4055   0.00754   0.00231  -0.0227   0.4855   1.0000
   2.000   0.4329   0.00805   0.00241  -0.0230   0.4005   1.0000
   2.250   0.4597   0.00847   0.00252  -0.0231   0.3393   1.0000
   2.500   0.4862   0.00876   0.00262  -0.0231   0.3053   1.0000
   2.750   0.5123   0.00899   0.00273  -0.0229   0.2824   1.0000
   3.000   0.5381   0.00922   0.00284  -0.0226   0.2651   1.0000
   3.250   0.5636   0.00942   0.00296  -0.0223   0.2508   1.0000
   3.500   0.5891   0.00961   0.00309  -0.0219   0.2385   1.0000
   3.750   0.6145   0.00979   0.00322  -0.0215   0.2281   1.0000
   4.000   0.6396   0.00999   0.00337  -0.0211   0.2189   1.0000
   4.250   0.6647   0.01020   0.00352  -0.0207   0.2101   1.0000
   4.500   0.6897   0.01039   0.00370  -0.0202   0.2024   1.0000
   4.750   0.7143   0.01064   0.00390  -0.0197   0.1944   1.0000
   5.000   0.7393   0.01080   0.00407  -0.0192   0.1874   1.0000
   5.250   0.7635   0.01109   0.00429  -0.0186   0.1799   1.0000
   5.500   0.7885   0.01124   0.00447  -0.0181   0.1738   1.0000
   5.750   0.8125   0.01153   0.00470  -0.0175   0.1678   1.0000
   6.000   0.8369   0.01174   0.00495  -0.0170   0.1629   1.0000
