  
       XFOIL         Version 6.99
  
 Calculated polar for: BOEING-VERTOL VR-1 AIRFOIL                      
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0177   0.00805   0.00225  -0.0432   0.8383   0.3299
  -1.750   0.0011   0.00732   0.00214  -0.0417   0.8314   0.4970
  -1.500   0.0216   0.00687   0.00211  -0.0401   0.8243   0.6115
  -1.250   0.0448   0.00665   0.00210  -0.0389   0.8183   0.6842
  -1.000   0.0686   0.00650   0.00213  -0.0378   0.8113   0.7353
  -0.750   0.0935   0.00642   0.00215  -0.0369   0.8053   0.7802
  -0.500   0.1189   0.00638   0.00220  -0.0360   0.7987   0.8126
  -0.250   0.1447   0.00636   0.00223  -0.0353   0.7922   0.8401
   0.000   0.1704   0.00638   0.00229  -0.0344   0.7860   0.8681
   0.250   0.1965   0.00639   0.00236  -0.0336   0.7779   0.8894
   0.500   0.2230   0.00644   0.00240  -0.0328   0.7685   0.9074
   0.750   0.2502   0.00649   0.00242  -0.0322   0.7588   0.9222
   1.000   0.2779   0.00653   0.00247  -0.0319   0.7486   0.9338
   1.250   0.3056   0.00658   0.00248  -0.0315   0.7364   0.9444
   1.500   0.3386   0.00664   0.00250  -0.0323   0.7230   0.9502
   1.750   0.3681   0.00670   0.00252  -0.0324   0.7065   0.9584
   2.000   0.4036   0.00678   0.00254  -0.0339   0.6867   0.9627
   2.250   0.4401   0.00688   0.00258  -0.0355   0.6665   0.9667
   2.500   0.4716   0.00699   0.00264  -0.0362   0.6437   0.9727
   3.000   0.5436   0.00745   0.00275  -0.0397   0.5471   0.9797
   3.250   0.5716   0.00825   0.00298  -0.0401   0.4185   0.9861
   3.500   0.5999   0.00979   0.00353  -0.0415   0.2117   0.9920
   3.750   0.6346   0.01066   0.00393  -0.0437   0.1214   0.9968
   4.000   0.6707   0.01110   0.00422  -0.0458   0.0972   1.0000
   4.250   0.6866   0.01139   0.00445  -0.0437   0.0855   1.0000
   4.500   0.7032   0.01163   0.00466  -0.0416   0.0762   1.0000
   4.750   0.7194   0.01191   0.00491  -0.0394   0.0681   1.0000
   5.000   0.7350   0.01226   0.00521  -0.0371   0.0611   1.0000
   5.250   0.7517   0.01255   0.00547  -0.0350   0.0562   1.0000
   5.500   0.7670   0.01296   0.00586  -0.0327   0.0521   1.0000
   5.750   0.7845   0.01327   0.00618  -0.0307   0.0492   1.0000
   6.000   0.8005   0.01371   0.00659  -0.0285   0.0467   1.0000
