  
       XFOIL         Version 6.99
  
 Calculated polar for: WHITCOMB INTEGRAL SUPERCRITICAL AIRFOIL         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0133   0.01224   0.00842  -0.0828   0.9950   0.6657
  -1.750   0.0250   0.01262   0.00883  -0.0843   0.9892   0.6704
  -1.500   0.0820   0.01271   0.00888  -0.0898   0.9821   0.6776
  -1.250   0.1279   0.01286   0.00908  -0.0924   0.9752   0.6802
  -1.000   0.1563   0.01306   0.00935  -0.0912   0.9670   0.6838
  -0.750   0.2041   0.01300   0.00931  -0.0944   0.9628   0.6889
  -0.250   0.2735   0.01276   0.00918  -0.0951   0.9504   0.6962
   0.000   0.3004   0.01255   0.00902  -0.0935   0.9391   0.6991
   0.250   0.3414   0.01217   0.00863  -0.0959   0.9276   0.7076
   0.500   0.3615   0.01192   0.00844  -0.0930   0.9139   0.7092
   0.750   0.3845   0.01169   0.00826  -0.0908   0.8899   0.7107
   1.000   0.4437   0.01279   0.00785  -0.0959   0.5522   0.7121
   1.250   0.4579   0.01371   0.00811  -0.0931   0.4027   0.7140
   1.500   0.4805   0.01429   0.00827  -0.0922   0.3053   0.7163
   1.750   0.5089   0.01473   0.00833  -0.0928   0.2249   0.7189
   2.250   0.5725   0.01531   0.00837  -0.0954   0.1278   0.7235
   2.500   0.5966   0.01559   0.00851  -0.0945   0.1023   0.7243
   2.750   0.6215   0.01585   0.00869  -0.0937   0.0860   0.7251
   3.000   0.6477   0.01609   0.00887  -0.0933   0.0755   0.7259
   3.250   0.6747   0.01634   0.00907  -0.0931   0.0682   0.7267
   3.500   0.7016   0.01662   0.00929  -0.0929   0.0625   0.7276
   3.750   0.7288   0.01684   0.00952  -0.0927   0.0585   0.7287
   4.000   0.7562   0.01716   0.00980  -0.0926   0.0548   0.7298
   4.250   0.7847   0.01745   0.01009  -0.0928   0.0519   0.7307
   4.500   0.8136   0.01769   0.01031  -0.0931   0.0491   0.7315
   4.750   0.8412   0.01816   0.01075  -0.0932   0.0465   0.7324
   5.000   0.8703   0.01842   0.01104  -0.0935   0.0445   0.7336
   5.250   0.8992   0.01876   0.01135  -0.0939   0.0426   0.7347
   5.500   0.9263   0.01944   0.01200  -0.0939   0.0408   0.7354
   5.750   0.9555   0.01977   0.01238  -0.0942   0.0395   0.7360
   6.000   0.9840   0.02019   0.01281  -0.0945   0.0382   0.7367
