  
       XFOIL         Version 6.99
  
 Calculated polar for: YS-915                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000  -0.0887   0.01059   0.00542  -0.0506   0.9256   0.5024
  -1.750  -0.0578   0.01049   0.00537  -0.0514   0.9246   0.5248
  -1.500  -0.0261   0.01037   0.00533  -0.0525   0.9239   0.5517
  -1.000   0.0395   0.01009   0.00528  -0.0550   0.9226   0.6234
   0.000   0.1330   0.00947   0.00551  -0.0512   0.9118   0.8471
   0.250   0.1932   0.00940   0.00567  -0.0584   0.9128   0.9221
   0.500   0.2631   0.00938   0.00570  -0.0678   0.9143   0.9491
   0.750   0.3122   0.00924   0.00560  -0.0724   0.9138   0.9645
   1.000   0.3591   0.00897   0.00541  -0.0763   0.9126   0.9745
   1.250   0.4091   0.00854   0.00503  -0.0807   0.9108   0.9792
   1.500   0.4500   0.00823   0.00478  -0.0832   0.9040   0.9852
   1.750   0.4962   0.00723   0.00379  -0.0857   0.8886   0.9868
   2.000   0.5331   0.00649   0.00300  -0.0864   0.8588   0.9918
   2.250   0.5712   0.00627   0.00289  -0.0884   0.8344   0.9971
   2.500   0.5870   0.00644   0.00246  -0.0851   0.6709   1.0000
   2.750   0.5715   0.00791   0.00287  -0.0763   0.4507   1.0000
   3.000   0.5641   0.00947   0.00335  -0.0696   0.2098   1.0000
   3.250   0.5657   0.01094   0.00398  -0.0647   0.0334   1.0000
   3.500   0.5829   0.01142   0.00448  -0.0624   0.0197   1.0000
   3.750   0.5935   0.01256   0.00574  -0.0586   0.0120   1.0000
   4.000   0.6088   0.01337   0.00664  -0.0558   0.0113   1.0000
   4.250   0.6249   0.01450   0.00786  -0.0531   0.0110   1.0000
   4.500   0.6465   0.01597   0.00943  -0.0515   0.0109   1.0000
   4.750   0.6677   0.01627   0.00977  -0.0502   0.0084   1.0000
   5.000   0.6902   0.01715   0.01071  -0.0491   0.0072   1.0000
   5.250   0.7138   0.01878   0.01252  -0.0482   0.0059   1.0000
   5.500   0.7393   0.02117   0.01516  -0.0473   0.0058   1.0000
