  
       XFOIL         Version 6.99
  
 Calculated polar for: NN1155                                          
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -1.750   0.0485   0.01348   0.00993  -0.0479   0.8549   0.8825
  -1.500   0.0787   0.01343   0.00982  -0.0478   0.8527   0.8990
  -1.000   0.1455   0.01415   0.01044  -0.0493   0.8380   0.9165
  -0.500   0.2254   0.01451   0.01069  -0.0537   0.8198   0.9298
  -0.250   0.2823   0.01453   0.01063  -0.0597   0.8065   0.9320
   0.000   0.3545   0.01418   0.01014  -0.0690   0.7887   0.9339
   0.250   0.4307   0.01372   0.00941  -0.0793   0.7522   0.9348
   0.500   0.4730   0.01397   0.00933  -0.0824   0.7050   0.9393
   0.750   0.4901   0.01445   0.00957  -0.0801   0.6656   0.9455
   1.000   0.5263   0.01477   0.00968  -0.0822   0.6359   0.9479
   1.250   0.5590   0.01510   0.00987  -0.0834   0.6119   0.9522
   1.500   0.5757   0.01567   0.01033  -0.0812   0.5937   0.9604
   1.750   0.6247   0.01568   0.01022  -0.0861   0.5751   0.9635
   2.000   0.6659   0.01599   0.01044  -0.0893   0.5593   0.9710
   2.250   0.7062   0.01608   0.01042  -0.0924   0.5450   0.9779
   2.500   0.7373   0.01599   0.01027  -0.0936   0.5320   0.9804
   2.750   0.7663   0.01598   0.01021  -0.0943   0.5210   0.9834
   3.250   0.8363   0.01588   0.01001  -0.0985   0.4991   0.9934
   3.500   0.8662   0.01575   0.00982  -0.0995   0.4895   0.9962
   3.750   0.8916   0.01569   0.00975  -0.0995   0.4806   0.9979
   4.000   0.9121   0.01576   0.00976  -0.0985   0.4721   0.9988
   4.250   0.9313   0.01581   0.00982  -0.0972   0.4643   0.9992
   4.500   0.9482   0.01594   0.00990  -0.0954   0.4566   0.9995
   4.750   0.9669   0.01602   0.00999  -0.0940   0.4498   0.9997
   5.000   0.9840   0.01613   0.01010  -0.0922   0.4422   0.9999
   5.250   1.0008   0.01629   0.01022  -0.0904   0.4354   1.0000
   5.500   1.0179   0.01639   0.01036  -0.0887   0.4289   1.0000
   5.750   1.0332   0.01657   0.01051  -0.0866   0.4216   1.0000
   6.000   1.0499   0.01672   0.01067  -0.0847   0.4159   1.0000
