  
       XFOIL         Version 6.99
  
 Calculated polar for: NN146                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.5634   0.01556   0.00865  -0.1651   0.7147   0.0627
  -1.750   0.5977   0.01529   0.00837  -0.1664   0.7132   0.0674
  -1.500   0.6342   0.01506   0.00813  -0.1683   0.7117   0.0732
  -1.250   0.6244   0.01556   0.00864  -0.1612   0.7080   0.0757
  -1.000   0.6020   0.01620   0.00934  -0.1519   0.7028   0.0771
  -0.750   0.6210   0.01620   0.00934  -0.1504   0.7003   0.0828
  -0.500   0.6497   0.01599   0.00916  -0.1506   0.6984   0.0912
  -0.250   0.6821   0.01576   0.00895  -0.1516   0.6969   0.1023
   0.000   0.7157   0.01553   0.00876  -0.1528   0.6955   0.1169
   0.250   0.7510   0.01533   0.00861  -0.1544   0.6941   0.1374
   0.500   0.7918   0.01513   0.00848  -0.1571   0.6926   0.1695
   0.750   0.7154   0.01686   0.01025  -0.1381   0.6839   0.1522
   1.000   0.7386   0.01678   0.01026  -0.1374   0.6817   0.1819
   1.250   0.7680   0.01656   0.01017  -0.1379   0.6800   0.2274
   1.500   0.8005   0.01623   0.01004  -0.1390   0.6786   0.2993
   1.750   0.8345   0.01576   0.00992  -0.1404   0.6773   0.4289
