  
       XFOIL         Version 6.99
  
 Calculated polar for: NN15561                                         
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.2775   0.01692   0.00921  -0.0760   0.7213   0.0162
  -1.750   0.2496   0.01727   0.00955  -0.0653   0.7113   0.0158
  -1.250   0.2712   0.01697   0.00912  -0.0592   0.6989   0.0192
  -1.000   0.2623   0.01709   0.00922  -0.0522   0.6901   0.0219
  -0.750   0.2460   0.01598   0.00854  -0.0437   0.6844   0.2152
  -0.500   0.2193   0.01609   0.00880  -0.0333   0.6752   0.2584
  -0.250   0.1535   0.01437   0.00817  -0.0147   0.6679   0.5247
   0.000   0.1582   0.01441   0.00826  -0.0104   0.6609   0.5450
   0.250   0.1356   0.01429   0.00842  -0.0004   0.6522   0.6129
   0.500   0.1366   0.01391   0.00824   0.0053   0.6467   0.6760
   0.750   0.1202   0.01424   0.00873   0.0139   0.6374   0.7070
   1.000   0.1316   0.01425   0.00875   0.0171   0.6310   0.7285
   1.250   0.1404   0.01441   0.00894   0.0205   0.6240   0.7454
   1.500   0.1410   0.01467   0.00926   0.0256   0.6161   0.7653
   1.750   0.1656   0.01467   0.00923   0.0259   0.6097   0.7778
   2.000   0.1792   0.01502   0.00958   0.0278   0.6018   0.7788
   2.250   0.1835   0.01521   0.00981   0.0323   0.5942   0.8035
   2.500   0.2055   0.01543   0.01002   0.0327   0.5868   0.8111
   2.750   0.2150   0.01576   0.01035   0.0356   0.5788   0.8202
   3.000   0.2443   0.01588   0.01044   0.0346   0.5722   0.8274
   3.250   0.2534   0.01625   0.01083   0.0374   0.5645   0.8372
   3.500   0.2784   0.01655   0.01114   0.0370   0.5568   0.8449
   3.750   0.2946   0.01681   0.01136   0.0386   0.5499   0.8547
   4.000   0.3169   0.01730   0.01190   0.0384   0.5417   0.8623
   4.250   0.3355   0.01755   0.01209   0.0394   0.5348   0.8718
   4.500   0.3630   0.01806   0.01265   0.0382   0.5271   0.8787
   4.750   0.3782   0.01848   0.01304   0.0396   0.5191   0.8886
   5.000   0.4137   0.01894   0.01348   0.0368   0.5126   0.8935
   5.250   0.4323   0.01959   0.01416   0.0372   0.5046   0.9016
   5.500   0.4598   0.02012   0.01464   0.0360   0.4971   0.9074
   5.750   0.4907   0.02085   0.01538   0.0338   0.4894   0.9108
   6.000   0.5156   0.02153   0.01604   0.0329   0.4816   0.9158
