  
       XFOIL         Version 6.99
  
 Calculated polar for: NN16                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -2.000   0.0698   0.02405   0.01836  -0.2030   0.7902   0.1859
  -1.750   0.1029   0.02369   0.01802  -0.2039   0.7895   0.1878
  -1.500   0.1370   0.02330   0.01762  -0.2050   0.7889   0.1898
  -1.250   0.1721   0.02287   0.01715  -0.2062   0.7885   0.1921
  -1.000   0.2076   0.02244   0.01665  -0.2075   0.7882   0.1940
  -0.750   0.2420   0.02189   0.01618  -0.2086   0.7879   0.1967
  -0.500   0.2778   0.02145   0.01576  -0.2099   0.7876   0.1989
  -0.250   0.3146   0.02101   0.01533  -0.2113   0.7873   0.2013
   0.000   0.3520   0.02057   0.01486  -0.2128   0.7871   0.2039
   0.250   0.3896   0.02012   0.01436  -0.2144   0.7868   0.2060
   0.500   0.4268   0.01958   0.01389  -0.2159   0.7865   0.2090
   0.750   0.4656   0.01915   0.01349  -0.2177   0.7862   0.2115
   1.000   0.5059   0.01869   0.01304  -0.2197   0.7859   0.2144
   1.250   0.5475   0.01823   0.01255  -0.2220   0.7856   0.2172
   2.250   0.6499   0.01776   0.01217  -0.2195   0.7730   0.2275
   2.500   0.6927   0.01732   0.01172  -0.2219   0.7724   0.2306
   3.000   0.7215   0.01745   0.01189  -0.2165   0.7606   0.2353
   3.250   0.7828   0.01623   0.01068  -0.2218   0.7580   0.2394
   3.500   0.7721   0.01690   0.01136  -0.2145   0.7468   0.2410
   3.750   0.8027   0.01667   0.01111  -0.2146   0.7416   0.2440
   4.000   0.8173   0.01675   0.01114  -0.2117   0.7315   0.2461
   4.250   0.8290   0.01679   0.01113  -0.2083   0.7163   0.2488
   4.500   0.8370   0.01719   0.01158  -0.2045   0.7061   0.2514
   4.750   0.8590   0.01724   0.01162  -0.2031   0.6959   0.2544
   5.000   0.8778   0.01739   0.01173  -0.2011   0.6830   0.2571
   5.250   0.8836   0.01793   0.01220  -0.1969   0.6640   0.2595
   5.500   0.8980   0.01829   0.01249  -0.1942   0.6488   0.2619
   5.750   0.8984   0.01908   0.01310  -0.1892   0.6175   0.2634
   6.000   0.8941   0.02004   0.01390  -0.1835   0.5815   0.2664
